DateKey,EntityKey,AccountKey,BudgetAmount,ScenarioKey
1,1,1,10297,1
1,1,2,-16173,1
1,1,3,-6995,1
1,1,4,-17534,1
1,2,1,13629,1
1,2,2,-17990,1
1,2,3,-15467,1
1,2,4,-7016,1
2,1,1,13869,2
2,1,2,-12439,2
2,1,3,-13892,2
2,1,4,-12863,2
2,2,1,13916,2
2,2,2,14529,2
2,2,3,6878,2
2,2,4,15268,2
3,1,1,10887,3
3,1,2,10859,3
3,1,3,12331,2
3,1,4,-824571,3
3,2,1,-414684,3
3,2,2,-13208,3
3,2,3,-11276,3
3,2,4,-8062,3
4,1,1,6064,4
4,1,2,-14006,4
4,1,3,-8568,4
4,1,4,-11463,4
4,2,1,8027,4
4,2,2,-8695,4
4,2,3,-15687,4
4,2,4,-11258,4
5,1,1,11618,4
5,1,2,-12736,4
5,1,3,-6391,4
5,1,4,-11892,5
5,2,1,9561,5
5,2,2,-16470,5
5,2,3,-12184,5
5,2,4,-9099,5
6,1,1,12278,5
6,1,2,-14392,5
6,1,3,-9104,5
6,1,4,-13215,5
6,2,1,8454,6
6,2,2,-17837,6
6,2,3,-14996,6
6,2,4,-8731,6
7,1,1,16965,6
7,1,2,-14154,6
7,1,3,-15762,6
7,1,4,-11056,6
7,2,1,14110,6
7,2,2,-16882,6
7,2,3,-9840,6
7,2,4,-7028,7
8,1,1,13385,7
8,1,2,-6502,7
8,1,3,-12910,7
8,1,4,-15062,7
8,2,1,12938,7
8,2,2,-10488,7
8,2,3,-6206,7
8,2,4,-11134,7
9,1,1,11977,7
9,1,2,-13721,8
9,1,3,-13035,8
9,1,4,-7484,8
9,2,1,13858,8
9,2,2,-6863,8
9,2,3,-8790,8
9,2,4,-13408,8
10,1,1,14755,8
10,1,2,-11116,8
10,1,3,-12019,8
10,1,4,-7757,8
10,2,1,13574,8
10,2,2,-12374,9
10,2,3,-12892,9
10,2,4,-7678,9
11,1,1,9242,9
11,1,2,-10636,9
11,1,3,-7059,9
11,1,4,-12668,9
11,2,1,15914,9
11,2,2,-17506,9
11,2,3,-9157,9
11,2,4,-11915,10
12,1,1,16817,10
12,1,2,-16921,10
12,1,3,-15789,10
12,1,4,-17252,10
12,2,1,8693,10
12,2,2,-9627,10
12,2,3,-15555,10
12,2,4,-16173,10
